ID,CALL,CN,TYPE
06DDAE46,D-0439,39,LS-1d
06DD9CD1,D-7852,52,Std.Cirrus 
0500DA3F,D-0368,68,Std.Libelle
06DDA726,D-2767,1F,LS1f
06DD9F41,D-0553,2A,Std.Libelle
06DDAD4A,D-2400,3B,Std.Libelle
06DD9804,D-8933,3J,LS-1f
06DD956A,D-1981,6H,LS-1d
06DDB098,D-9323,6X,H301 Libelle
06DDA826,D-2419,7B,Std.Libelle
053F0487,D-9200,7J,LS-7
06DDB277,D-9231,7X,LS-1d
06DF0868,D-3998,8Y,LS-1f
06DDAB05,D-0976,AR,Std.Cirrus
06DD897F,D-9106,C1,LS-4
06DDA761,D-8667,CN,LS1f
06DDAB66,D-1205,DX,Hornet-wl
06DDFD36,D-8958,E1,LS-4
06DDBC68,D-9262,EF,LS-1f
06DDA475,D-6800,FG,DG-300
06DF08D9,D-1797,FH,Std.Libelle
06DDA453,D-1980,G1,DG-100G
06DD823A,D-3264,HZ,Jantar-Std.3
06DDFE29,D-0221,IGP,LS-4
06DDA935,D-0781,KL,LS-1d
06DDED78,D-2356,LX,ASW15
06DDDF3D,D-9498,PS,LS-1f
06DD9F79,D-1408,S,Std.Libelle
06DD51FF,D-0141,S1,Std.Libelle
06DF0ED4,D-0771,SL,Std.Libelle
06DF0CCB,D-2817,SN,LS-3WL
06DD97B4,D-0667,T,LS-1d
06DF1245,D-3133,UX,LS-1f
06DF0B0F,D-0845,Y6,Std.Libelle
06DDDE43,D-5484,YL,LS-4
06DD09CF,D-3017,YYY,Std. Libelle203WL
